,Not Novel (%),Novel (%),Implausible (%),Mean min dist,Median min dist,P5 min dist,P95 min dist
Historical,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MVP1,0.0,3.925,96.075,1.9340343534512727,1.5885434357431891,0.681009952573561,4.324255745150052
HJM-PCA,0.0,14.223333333333333,85.77666666666667,1.8082820914111557,1.2332441435331738,0.4671134068138325,5.392908777998617
CANN,0.0,8.183333333333334,91.81666666666666,1.9503808480658644,1.5158617401386136,0.5597398451656326,4.919353300945174
VAE,0.0,25.066666666666666,74.93333333333332,0.9004555452376721,0.8475638794762796,0.43280290324915394,1.4880463963589043
