Start_Curve_ID,Model,Maturity,Mean_Volatility
1,Diffusion,1M,0.23927079502384846
1,Diffusion,3M,0.18674577148591576
1,Diffusion,6M,0.18778625852491165
1,Diffusion,1Y,0.20367478252412238
1,Diffusion,2Y,0.24441246717125215
1,Diffusion,3Y,0.2687059905435262
1,Diffusion,5Y,0.2876323905006287
1,Diffusion,7Y,0.2908458217942148
1,Diffusion,10Y,0.2855840264045052
1,Diffusion,20Y,0.2669771424634334
1,Diffusion,30Y,0.24622361571167276
1,HJM-PCA,1M,0.22512871784688132
1,HJM-PCA,3M,0.19116987819676984
1,HJM-PCA,6M,0.18037417371882208
1,HJM-PCA,1Y,0.17905671666204503
1,HJM-PCA,2Y,0.21557564853303446
1,HJM-PCA,3Y,0.24042061180865804
1,HJM-PCA,5Y,0.256815469042848
1,HJM-PCA,7Y,0.25628892096582445
1,HJM-PCA,10Y,0.2473782013585101
1,HJM-PCA,20Y,0.2324074237277038
1,HJM-PCA,30Y,0.2195227979515749
1,VAE,1M,0.1534022051800952
1,VAE,3M,0.12119066572908274
1,VAE,6M,0.111265492805981
1,VAE,1Y,0.10960092428863362
1,VAE,2Y,0.12964709610900593
1,VAE,3Y,0.14455362582241993
1,VAE,5Y,0.15849969439885397
1,VAE,7Y,0.16449162854337568
1,VAE,10Y,0.16659373939850688
1,VAE,20Y,0.1513034411202297
1,VAE,30Y,0.14578188071401157
2,Diffusion,1M,0.2615003333163243
2,Diffusion,3M,0.20087680925444182
2,Diffusion,6M,0.20056924762981473
2,Diffusion,1Y,0.2166696282113795
2,Diffusion,2Y,0.26212152805948885
2,Diffusion,3Y,0.2893073023675261
2,Diffusion,5Y,0.3096919189155241
2,Diffusion,7Y,0.3103697947101193
2,Diffusion,10Y,0.3032306587214995
2,Diffusion,20Y,0.2756494155036463
2,Diffusion,30Y,0.249627867991946
2,HJM-PCA,1M,0.23159139510713964
2,HJM-PCA,3M,0.19521516544764114
2,HJM-PCA,6M,0.18320488156478149
2,HJM-PCA,1Y,0.18199816510643302
2,HJM-PCA,2Y,0.21985770431688056
2,HJM-PCA,3Y,0.24603904704050508
2,HJM-PCA,5Y,0.264310989608611
2,HJM-PCA,7Y,0.26414530731509556
2,HJM-PCA,10Y,0.2547855716821138
2,HJM-PCA,20Y,0.2386859392590434
2,HJM-PCA,30Y,0.22489451180940123
2,VAE,1M,0.17165863011265078
2,VAE,3M,0.1334692337499451
2,VAE,6M,0.1254173443428525
2,VAE,1Y,0.120674919333456
2,VAE,2Y,0.1383304733902467
2,VAE,3Y,0.1512344692956337
2,VAE,5Y,0.16222668068287294
2,VAE,7Y,0.16792737954501843
2,VAE,10Y,0.17226923351268636
2,VAE,20Y,0.16300693215777243
2,VAE,30Y,0.16186044044291523
3,Diffusion,1M,0.08157206214605106
3,Diffusion,3M,0.06290764735829939
3,Diffusion,6M,0.06513543174445113
3,Diffusion,1Y,0.07776900037973734
3,Diffusion,2Y,0.10622610611255875
3,Diffusion,3Y,0.13156352775879326
3,Diffusion,5Y,0.15687920609903744
3,Diffusion,7Y,0.1751911494259542
3,Diffusion,10Y,0.1851654314015066
3,Diffusion,20Y,0.18272249153663578
3,Diffusion,30Y,0.1813272840074617
3,HJM-PCA,1M,0.22497930256476897
3,HJM-PCA,3M,0.18939332945828266
3,HJM-PCA,6M,0.17671329431075666
3,HJM-PCA,1Y,0.17665584664892048
3,HJM-PCA,2Y,0.21836346171951582
3,HJM-PCA,3Y,0.24585820347474222
3,HJM-PCA,5Y,0.26541818762810965
3,HJM-PCA,7Y,0.26527040839771276
3,HJM-PCA,10Y,0.2556643454891614
3,HJM-PCA,20Y,0.23930120741557676
3,HJM-PCA,30Y,0.22451906463931812
3,VAE,1M,0.09246640172235997
3,VAE,3M,0.07243618541955825
3,VAE,6M,0.06909146675489439
3,VAE,1Y,0.07263468936142221
3,VAE,2Y,0.09327630498614493
3,VAE,3Y,0.1110336386201511
3,VAE,5Y,0.13064609455450985
3,VAE,7Y,0.13897209781640216
3,VAE,10Y,0.14158059452264152
3,VAE,20Y,0.1330580067988794
3,VAE,30Y,0.1300514564136677
4,Diffusion,1M,0.09073144328983315
4,Diffusion,3M,0.07264301736958059
4,Diffusion,6M,0.07748317914882771
4,Diffusion,1Y,0.0927990850920312
4,Diffusion,2Y,0.12024942942401862
4,Diffusion,3Y,0.1409972977094137
4,Diffusion,5Y,0.16249927234736755
4,Diffusion,7Y,0.17723873201008475
4,Diffusion,10Y,0.18604812603636506
4,Diffusion,20Y,0.1838242215838101
4,Diffusion,30Y,0.18286556718315283
4,HJM-PCA,1M,0.2267130638673549
4,HJM-PCA,3M,0.19074437645405545
4,HJM-PCA,6M,0.17914904071427679
4,HJM-PCA,1Y,0.17702707904561216
4,HJM-PCA,2Y,0.21100961329566922
4,HJM-PCA,3Y,0.23501115588562915
4,HJM-PCA,5Y,0.25251798916764473
4,HJM-PCA,7Y,0.2537651134120415
4,HJM-PCA,10Y,0.24796059669583967
4,HJM-PCA,20Y,0.2361584611533397
4,HJM-PCA,30Y,0.22525679228732964
4,VAE,1M,0.1012787386289693
4,VAE,3M,0.08095439066351583
4,VAE,6M,0.07528867210393124
4,VAE,1Y,0.07513406109902651
4,VAE,2Y,0.09580303200477554
4,VAE,3Y,0.11471133914868333
4,VAE,5Y,0.13687290234068727
4,VAE,7Y,0.1476385476263312
4,VAE,10Y,0.15004909464593086
4,VAE,20Y,0.14079296392149981
4,VAE,30Y,0.13803508581131618
5,Diffusion,1M,0.11863493186732146
5,Diffusion,3M,0.09810830544884838
5,Diffusion,6M,0.10551281801710259
5,Diffusion,1Y,0.12244637461761923
5,Diffusion,2Y,0.15506439538591027
5,Diffusion,3Y,0.17785459829396347
5,Diffusion,5Y,0.19895055903786238
5,Diffusion,7Y,0.2096523048463515
5,Diffusion,10Y,0.2130400192186964
5,Diffusion,20Y,0.206227927297147
5,Diffusion,30Y,0.20326223928580983
5,HJM-PCA,1M,0.22542639833821373
5,HJM-PCA,3M,0.19081099163867501
5,HJM-PCA,6M,0.18049757484238155
5,HJM-PCA,1Y,0.1807626515373367
5,HJM-PCA,2Y,0.22052534684641176
5,HJM-PCA,3Y,0.2472357237487286
5,HJM-PCA,5Y,0.26623916818487897
5,HJM-PCA,7Y,0.2663675316406625
5,HJM-PCA,10Y,0.25713962617409514
5,HJM-PCA,20Y,0.24073011470751124
5,HJM-PCA,30Y,0.22661480069430145
5,VAE,1M,0.11262594568806059
5,VAE,3M,0.08945727221263713
5,VAE,6M,0.0842310973169585
5,VAE,1Y,0.08361947165640168
5,VAE,2Y,0.10244326812439893
5,VAE,3Y,0.11932247750522613
5,VAE,5Y,0.13893405737392123
5,VAE,7Y,0.14758031693082663
5,VAE,10Y,0.1525720276458915
5,VAE,20Y,0.1439562043258307
5,VAE,30Y,0.14147712655502723
6,Diffusion,1M,0.08575360664754292
6,Diffusion,3M,0.07002618629169269
6,Diffusion,6M,0.07776880210732785
6,Diffusion,1Y,0.09408811925945613
6,Diffusion,2Y,0.12434557884867163
6,Diffusion,3Y,0.1492173924684888
6,Diffusion,5Y,0.17451170729562798
6,Diffusion,7Y,0.1912749785813333
6,Diffusion,10Y,0.19706963948905817
6,Diffusion,20Y,0.19141397434917828
6,Diffusion,30Y,0.1922394001379854
6,HJM-PCA,1M,0.2249321103421436
6,HJM-PCA,3M,0.18882590234363122
6,HJM-PCA,6M,0.17725348651724185
6,HJM-PCA,1Y,0.1757765590149636
6,HJM-PCA,2Y,0.21283678763424935
6,HJM-PCA,3Y,0.23824832253393868
6,HJM-PCA,5Y,0.25663887036953137
6,HJM-PCA,7Y,0.25747044649987805
6,HJM-PCA,10Y,0.25033856391851034
6,HJM-PCA,20Y,0.23686487092225345
6,HJM-PCA,30Y,0.2241571141410968
6,VAE,1M,0.09822780081446585
6,VAE,3M,0.07831645987407834
6,VAE,6M,0.07350319167323664
6,VAE,1Y,0.07349091622078173
6,VAE,2Y,0.09281966487014
6,VAE,3Y,0.11064508703173803
6,VAE,5Y,0.13291186827164286
6,VAE,7Y,0.14351471561856932
6,VAE,10Y,0.14773053974040254
6,VAE,20Y,0.14130859499688742
6,VAE,30Y,0.14028470889857977
7,Diffusion,1M,0.30002617076595023
7,Diffusion,3M,0.21406975297588376
7,Diffusion,6M,0.2113640122883278
7,Diffusion,1Y,0.2228046934543273
7,Diffusion,2Y,0.26692201506212354
7,Diffusion,3Y,0.29251647358549737
7,Diffusion,5Y,0.30917994070023325
7,Diffusion,7Y,0.3094467515989952
7,Diffusion,10Y,0.2975669691591547
7,Diffusion,20Y,0.27366123601442893
7,Diffusion,30Y,0.25075466298159077
7,HJM-PCA,1M,0.21759509568382412
7,HJM-PCA,3M,0.18471874082406964
7,HJM-PCA,6M,0.1744935872292439
7,HJM-PCA,1Y,0.17381829082644837
7,HJM-PCA,2Y,0.208544656642713
7,HJM-PCA,3Y,0.23223258713005648
7,HJM-PCA,5Y,0.24800515584015126
7,HJM-PCA,7Y,0.24803757463304912
7,HJM-PCA,10Y,0.24081830993444017
7,HJM-PCA,20Y,0.22809475040664545
7,HJM-PCA,30Y,0.2175797595509607
7,VAE,1M,0.21955468900293532
7,VAE,3M,0.17334147960565727
7,VAE,6M,0.16477574560123281
7,VAE,1Y,0.1606611978837553
7,VAE,2Y,0.17725421277441752
7,VAE,3Y,0.1883032518806919
7,VAE,5Y,0.1949811276898763
7,VAE,7Y,0.1989929495607446
7,VAE,10Y,0.20439798731910538
7,VAE,20Y,0.19098231323068565
7,VAE,30Y,0.18540203021983637
8,Diffusion,1M,0.2832112891431366
8,Diffusion,3M,0.2094610858726836
8,Diffusion,6M,0.21007935793912638
8,Diffusion,1Y,0.22355831364769116
8,Diffusion,2Y,0.26913039482888124
8,Diffusion,3Y,0.29640503289760406
8,Diffusion,5Y,0.31707534724469577
8,Diffusion,7Y,0.3171848702919894
8,Diffusion,10Y,0.3059859149121563
8,Diffusion,20Y,0.2803187006715332
8,Diffusion,30Y,0.25351025929985455
8,HJM-PCA,1M,0.22914081752907883
8,HJM-PCA,3M,0.19473951670199977
8,HJM-PCA,6M,0.1843611286884505
8,HJM-PCA,1Y,0.18467089922891083
8,HJM-PCA,2Y,0.22165193563838562
8,HJM-PCA,3Y,0.2469908281236924
8,HJM-PCA,5Y,0.26379506145363624
8,HJM-PCA,7Y,0.26331498381763285
8,HJM-PCA,10Y,0.2539117091762371
