Start_Curve_ID,Model,Maturity,Mean_Volatility
5,HJM-PCA,20Y,0.24063446527583648
5,HJM-PCA,30Y,0.22655724856892384
5,VAE,1M,0.22857175436795368
5,VAE,3M,0.17150074967437703
5,VAE,6M,0.16264748180329697
5,VAE,1Y,0.15466229878368767
5,VAE,2Y,0.1649831810011627
5,VAE,3Y,0.1751479295696825
5,VAE,5Y,0.1847713392819119
5,VAE,7Y,0.18532287322965943
5,VAE,10Y,0.18039502766460608
5,VAE,20Y,0.17410777504544311
5,VAE,30Y,0.16942745203381204
6,Diffusion,1M,0.11057478063747228
6,Diffusion,3M,0.085837653994404
6,Diffusion,6M,0.09440117706478626
6,Diffusion,1Y,0.1104845072000297
6,Diffusion,2Y,0.1509562264322986
6,Diffusion,3Y,0.18456177831677847
6,Diffusion,5Y,0.2152406638302707
6,Diffusion,7Y,0.22652671360175938
6,Diffusion,10Y,0.22138108547858176
6,Diffusion,20Y,0.21693114014477896
6,Diffusion,30Y,0.20685673558609832
6,HJM-PCA,1M,0.2252304746085434
6,HJM-PCA,3M,0.18913374092413276
6,HJM-PCA,6M,0.17747185495294682
6,HJM-PCA,1Y,0.17576141872104203
6,HJM-PCA,2Y,0.21290055091744015
6,HJM-PCA,3Y,0.2384306987042156
6,HJM-PCA,5Y,0.25681884101159935
6,HJM-PCA,7Y,0.2575883360095338
6,HJM-PCA,10Y,0.2504036874134003
6,HJM-PCA,20Y,0.23688520114324318
6,HJM-PCA,30Y,0.2241662624509681
6,VAE,1M,0.1368303545227147
6,VAE,3M,0.10425443012209026
6,VAE,6M,0.09982762259384005
6,VAE,1Y,0.09795486584012435
6,VAE,2Y,0.11441040513473355
6,VAE,3Y,0.13126088691973806
6,VAE,5Y,0.15323741474415953
6,VAE,7Y,0.1596217143574577
6,VAE,10Y,0.15636791625869678
6,VAE,20Y,0.15417772021612658
6,VAE,30Y,0.14819504051945848
7,Diffusion,1M,0.12065763519863479
7,Diffusion,3M,0.0997256211448668
7,Diffusion,6M,0.10667233709538446
7,Diffusion,1Y,0.12426313259493664
7,Diffusion,2Y,0.16437881854517009
7,Diffusion,3Y,0.1950645405456072
7,Diffusion,5Y,0.22051111509955437
7,Diffusion,7Y,0.22617881594246625
7,Diffusion,10Y,0.2178780666627232
7,Diffusion,20Y,0.21228687701014964
7,Diffusion,30Y,0.2018620379773409
7,HJM-PCA,1M,0.21776126817575653
7,HJM-PCA,3M,0.18479217031755413
7,HJM-PCA,6M,0.17449875708456333
7,HJM-PCA,1Y,0.1738833124496966
7,HJM-PCA,2Y,0.20900660876957042
7,HJM-PCA,3Y,0.23274380354448404
