DATE,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
2002-10-31,1.4745508658826183,1.434840749600084,1.4249119884592014,1.3795,1.6908,2.1106,2.9252,3.6116,4.395,5.5078,5.4383
2005-07-29,3.2238763759766806,3.3910881298826556,3.656372735602488,3.8567,4.0108,4.0508,4.0842,4.1644,4.3361,4.6006,4.3291
2008-11-28,0.01999900006664289,0.00999975000837513,0.43951670869744364,0.771099984645844,0.777999997138977,1.05879998207092,1.92809998989105,2.77629995346069,3.6350998878479,3.86080002784729,3.16599988937378
2009-01-30,0.1499437781092052,0.23985611509641674,0.35967638827588816,0.544700026512146,0.816399991512299,1.18060004711151,1.99609994888306,2.74990010261536,3.57870006561279,4.0806999206543,3.33719992637634
2009-09-30,0.05999100179963978,0.13995102285464675,0.1799190485672075,0.420399993658066,0.926500022411346,1.43270003795624,2.33870005607605,3.0385000705719,3.71499991416931,4.24160003662109,4.11019992828369
2014-12-31,0.02999775022505194,0.03999600053323841,0.11996401439351657,0.293999999761581,0.706399977207184,1.11849999427795,1.69120001792908,2.00139999389648,2.24320006370544,2.62680006027222,2.89939999580383
2023-10-31,5.484119115198453,5.513305543561035,5.464659129778089,5.3243,5.0209,4.8618,4.7747,4.8231,4.9559,5.1837,5.06
2024-10-31,4.704239008269223,4.586994256499178,4.381650409775928,4.2704,4.125,4.0893,4.1225,4.1922,4.2994,4.537,4.6166
2025-03-31,4.332727927205222,4.2740051472385,4.185888636205972,4.0087,3.8759,3.8533,3.9351,4.065,4.2571,4.6592,4.7697
2025-06-30,4.234847046281261,4.362082852769813,4.244637290305072,3.9603,3.7069,3.6517,3.7731,3.9825,4.2905,4.8824,4.9738
