simulation_id,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
0,5.084579457067905,5.20425135974003,5.376663112706871,5.695845573679469,6.230779698507251,6.635451419864648,7.166162225510867,7.449920133911347,7.6107989014603525,7.9683293975709795,7.9683293975709795
1,4.363717928870915,4.507534578577581,4.7160177803975225,5.106675632095815,5.780797831845205,6.317559393498014,7.081164971441568,7.5394541003898325,7.808990894914716,7.932958902619442,7.932958902619442
2,-0.24324290010148839,-0.26678907475531277,-0.2973024602501698,-0.342586008880634,-0.38221770209873596,-0.36756804128040127,-0.16540373558452406,0.2215817487147634,0.9000435474858964,1.4866234820821207,1.4866234820821207
3,4.877634918622653,4.934253590449781,5.018022213409287,5.180341316376393,5.475991312472731,5.72682802955278,6.13993943879725,6.449064164984299,6.626093980525252,6.218218271491948,6.218218271491948
4,2.0864822362884805,2.117542425825953,2.1644954228891886,2.2586030925144454,2.4390533552176596,2.6021190108874865,2.917803885718769,3.226705482799834,3.5674113691388545,3.6001571217875012,3.6001571217875012
5,6.766835876782097,6.857080020017952,6.986643386409394,7.22458337828192,7.613311777509097,7.8905538593923605,8.208671897240075,8.312756140658847,8.204327584386718,8.02329904084548,8.02329904084548
6,3.9119217669965027,3.8795529848062262,3.836787197893549,3.7705392076590134,3.703192962856526,3.709181250822196,3.9516658825280957,4.456635014324878,5.459806480032151,6.619361958040396,6.619361958040396
7,4.136406835146377,4.134603083690415,4.135887955724094,4.151155893906869,4.219609580741047,4.323392629038781,4.639310766499717,5.041271215847364,5.523485863143953,5.23895421216593,5.23895421216593
8,5.156503323062394,5.168474640376807,5.1880047552639645,5.231542497183024,5.327332379044827,5.426521958991418,5.671103625043463,5.9749273157562115,6.406858904056537,6.639822866328039,6.639822866328039
9,2.9374796678746105,2.911530677073494,2.875700555573028,2.8140048979002623,2.721385170569416,2.661782151325786,2.678625281073869,2.876165371699939,3.3807554555803767,4.166120642450655,4.166120642450655
10,4.878291448306394,4.901900704348989,4.936427425140776,5.001509092130328,5.109703794952306,5.186319143188372,5.309287121744853,5.436996716092013,5.627133604189637,6.000405410890551,6.000405410890551
11,0.8703807158109386,0.951793725625253,1.0740939942001173,1.3179463900955948,1.7918359078863708,2.235986402153569,3.056197769254014,3.7584683862785795,4.390770324306864,4.020987060584157,4.020987060584157
12,6.196529515092439,6.235344951347727,6.290153022427514,6.387184901697678,6.528556803224498,6.604483577261878,6.6585500242544695,6.6841138020557676,6.807768023998569,7.657121073270422,7.657121073270422
13,4.898559418365282,4.954350109298956,5.035065479442771,5.185243851849708,5.436189725672379,5.6221668457262295,5.879051389229682,6.053203608372574,6.216196128393283,6.506968564318863,6.506968564318863
14,3.431425419434485,3.426847081259049,3.4242928592865827,3.4330921026661536,3.4938088201038364,3.5974791685676277,3.939358519605227,4.407718674450393,5.0798529472811955,5.357069758320457,5.357069758320457
15,1.4820182294782283,1.4587355597438307,1.4329173226393666,1.411628192879642,1.4717162997417623,1.6423260418137284,2.2640065442017097,3.1120949218805536,4.292765076167647,4.429043777893783,4.429043777893783
16,4.4944792998695835,4.572248112118368,4.685029407773008,4.896053247941871,5.255224866091739,5.530865269528981,5.908466408096014,6.120317611911936,6.171414263145923,5.989028726090999,5.989028726090999
17,2.630583377344211,2.674269595634832,2.738735987746186,2.863051286254941,3.0870316562359044,3.275669112554034,3.6104877601030942,3.9322851773127727,4.376298407219332,5.047717077421098,5.047717077421098
18,5.029730365917528,5.021569526715957,5.009713523854135,4.98657345668948,4.9362170288105895,4.877599572671113,4.7974739271257745,4.807614219692214,4.970454659291311,5.5720517556239555,5.5720517556239555
19,7.138459613806054,7.1862820403548575,7.249914671927611,7.348439658530931,7.4336208616790955,7.384829894356069,7.033682166857924,6.5293309097674905,5.842184128762948,6.167898728554225,6.167898728554225
20,0.8454045794093504,0.8673075450251609,0.9041941367824687,0.9907028670525688,1.2009279523604373,1.4438981586523023,2.0225787248470204,2.6533871435627754,3.380900283156679,3.2363750329304457,3.2363750329304457
21,6.993836010586797,7.051193141519124,7.1303151291571485,7.263857373729192,7.43342713840404,7.484734626224844,7.36445508745707,7.104436386339426,6.737028617335475,7.197726858681455,7.197726858681455
22,2.197417816735074,2.2221068447912757,2.2641480870142208,2.3642673522555913,2.61330892380346,2.9074904192789948,3.611062362498058,4.37219453949082,5.2409982368377035,4.9194405253351645,4.9194405253351645
23,1.3704636465420863,1.3277374629217258,1.2693039739563001,1.1713000399943634,1.039166156870081,0.9794399151115659,1.0914305399789805,1.4733452797789754,2.3221407401440772,3.42841474479541,3.42841474479541
24,4.656876414043079,4.685978519796771,4.723686457180858,4.777835153863041,4.8019589237441185,4.7248521523983955,4.395208586879791,3.983060655621853,3.478889905617018,3.951513816451187,3.951513816451187
