DATE,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
2002-02-26,1.7721256864392732,1.7622136557099783,1.900937402849204,2.2442,3.0632,3.6599,4.4239,4.9118,5.3778,5.8448,5.6745
2002-02-27,1.7622136557100436,1.7622136557099783,1.8712189848049965,2.1603,2.9656,3.5537,4.3174,4.816,5.2994,5.7907,5.6095
2002-02-28,1.752301133714577,1.7820372259512143,1.861311864059915,2.19,3.0313,3.6158,4.3668,4.858,5.3371,5.8363,5.6686
2002-03-01,1.7721256864392732,1.7622136557099783,1.900937402849204,2.3306,3.1484,3.7274,4.477,4.9654,5.4382,5.9166,5.738
2002-03-04,1.7622136557100436,1.8018588315174742,1.9306514056276776,2.3544,3.1897,3.7748,4.5203,5.0003,5.4617,5.9241,5.7502
2002-03-05,1.7721256864392732,1.791948274294363,1.920747228538948,2.356,3.2018,3.7882,4.5282,5.0003,5.4515,5.9003,5.7306
2002-03-06,1.7622136557100436,1.772125686439308,1.9108425609623443,2.3472,3.2112,3.8049,4.5563,5.0384,5.5002,5.9581,5.7802
2002-03-07,1.7622136557100436,1.772125686439308,1.9504582885356705,2.4688,3.3961,4.0016,4.7451,5.2129,5.6543,6.0738,5.8924
2002-03-08,1.7622136557100436,1.8018588315174742,2.0395649952892296,2.6005,3.5421,4.1359,4.863,5.3199,5.7473,6.1296,5.9293
2002-03-11,1.7919482742943262,1.85140425253538,2.069258410828852,2.581,3.5278,4.134,4.8693,5.3268,5.7532,6.1403,5.9508
2002-03-12,1.8117688976691693,1.8315875569531428,2.0494632903098937,2.5515,3.5078,4.1158,4.8529,5.314,5.7464,6.1477,5.9617
2002-03-13,1.7919482742943262,1.8117688976692308,2.0098671706002973,2.4946,3.4384,4.0491,4.7971,5.2689,5.7155,6.1447,5.9643
2002-03-14,1.7820372259511914,1.85140425253538,2.0494632903098937,2.6457,3.5783,4.1791,4.9242,5.3952,5.8372,6.2346,6.0271
2002-03-15,1.7820372259511914,1.85140425253538,2.07915523642409,2.6597,3.572,4.1636,4.8906,5.3441,5.7673,6.1546,5.9699
2002-03-18,1.7622136557100436,1.8712189848050034,2.128632019695954,2.6617,3.5885,4.1724,4.8789,5.3196,5.7335,6.127,5.9603
2002-03-19,1.8018588315174746,1.8414961501826186,2.089051572307713,2.6122,3.5604,4.1599,4.882,5.3299,5.7487,6.1421,5.9712
2002-03-20,1.7820372259511914,1.8315875569531428,2.108842775134216,2.6988,3.6461,4.2404,4.9583,5.404,5.8207,6.2101,6.0375
2002-03-21,1.7721256864392732,1.8315875569531428,2.108842775134216,2.7262,3.6746,4.2629,4.9665,5.4006,5.8055,6.1871,6.0253
2002-03-22,1.7721256864392732,1.8315875569531428,2.118737642173989,2.78,3.7064,4.2844,4.9828,5.4163,5.8223,6.2077,6.0462
2002-03-25,1.7721256864392732,1.8414961501826186,2.1484193063804136,2.7979,3.7374,4.3174,5.0023,5.4188,5.8067,6.1912,6.063
2002-03-26,1.8117688976691693,1.8018588315174742,2.108842775134216,2.7397,3.6576,4.2414,4.9369,5.3571,5.7457,6.126,5.9971
2002-03-27,1.7622136557100436,1.8018588315174742,2.089051572307713,2.703,3.6313,4.2268,4.9337,5.3584,5.7494,6.1305,6.0018
2002-03-28,1.752301133714577,1.7820372259512143,2.108842775134216,2.7535,3.69,4.2862,4.9986,5.4291,5.8248,6.1957,6.0472
2002-04-01,1.7820372259511914,1.7820372259512143,2.1484193063804136,2.7507,3.7025,4.3032,5.0115,5.4364,5.8254,6.1904,6.0472
2002-04-02,1.7820372259511914,1.791948274294363,2.108842775134216,2.6408,3.5996,4.2097,4.9243,5.3523,5.7457,6.124,5.9885
2002-04-03,1.7622136557100436,1.7820372259512143,2.069258410828852,2.6084,3.5063,4.1132,4.8464,5.2869,5.6916,6.0881,5.9597
2002-04-04,1.7622136557100436,1.772125686439308,2.0593610954736405,2.6172,3.5328,4.1288,4.8386,5.267,5.6644,6.065,5.9459
2002-04-05,1.752301133714577,1.7523011337145238,2.0197669354829166,2.5435,3.4562,4.049,4.7588,5.1939,5.6029,6.0237,5.9017
