Date,f_3m_6m,f_6m_1y,f_1y_2y,f_2y_5y,f_5y_10y,f_10y_20y,f_20y_30y
2019-02-04,0.0004000000000000045,-0.0001000000000000098,0.00010000000000000286,0.00026666666666666505,0.00040000000000000105,0.0005000000000000004,0.0001000000000000098
2019-02-05,0.0001999999999999988,-0.00029999999999999125,9.999999999999593e-05,-0.0003333333333333348,-0.0001999999999999988,-0.00039999999999999064,-0.00030000000000002247
2019-02-06,0.0,0.0,-0.0001999999999999988,-9.99999999999994e-05,-9.99999999999994e-05,-0.0001000000000000098,0.00020000000000001267
2019-02-07,-0.0001999999999999988,-0.00010000000000000633,-0.0006999999999999992,-0.00040000000000000105,-0.0006000000000000033,-9.999999999998899e-05,-0.0003000000000000086
2019-02-08,-0.00010000000000000286,-0.0001999999999999988,-0.000499999999999997,-0.00013333333333333253,-0.0001999999999999988,-0.00040000000000001146,-0.00029999999999998084
2019-02-11,0.00019999999999999185,3.469446951953614e-18,0.000499999999999997,0.0003000000000000086,9.99999999999994e-05,0.00040000000000001146,0.00029999999999998084
2019-02-12,6.938893903907228e-18,9.999999999999593e-05,0.0004000000000000045,0.00019999999999999532,0.00040000000000000105,9.999999999998899e-05,0.0002000000000000196
2019-02-13,9.999999999999593e-05,-9.999999999999593e-05,0.0005999999999999964,0.00046666666666666384,0.0001999999999999988,0.0001000000000000098,0.00019999999999999185
2019-02-14,9.999999999999593e-05,-0.0003999999999999976,-0.0003999999999999976,-0.000633333333333333,-0.0005000000000000004,-0.00030000000000000165,-0.00010000000000001674
2019-02-15,-0.00019999999999999185,0.0004999999999999935,0.0001999999999999988,3.33333333333366e-05,-9.99999999999994e-05,-0.0002000000000000092,-9.999999999998899e-05
2019-02-19,0.0001999999999999988,-0.0003999999999999976,-0.0002999999999999982,-0.0001999999999999988,0.0,9.99999999999994e-05,-0.0002999999999999739
2019-02-20,-0.00020000000000000573,0.00010000000000000286,0.0,0.0,0.0,0.0,0.0002999999999999739
2019-02-21,0.0,0.0001999999999999988,0.000499999999999997,0.0004666666666666604,0.00040000000000000105,0.0006000000000000102,0.0005000000000000004
2019-02-22,-9.99999999999994e-05,0.0,-0.0010000000000000009,-0.0003333333333333244,-0.00040000000000000105,-0.0001999999999999988,-0.0002999999999999947
2019-02-25,-0.00010000000000000286,0.00020000000000000573,0.0004999999999999935,-3.333333333334007e-05,0.00029999999999999125,-6.938893903907228e-18,9.999999999999593e-05
2019-02-26,0.00020000000000000226,-0.00020000000000000573,-0.0004999999999999935,-0.00030000000000000165,-0.00029999999999999125,-0.0003000000000000051,0.0
2019-02-27,0.00020000000000000573,-0.00030000000000000165,0.0005000000000000039,0.000533333333333337,0.0005999999999999998,0.0009000000000000154,0.00039999999999999064
2019-02-28,-0.0003999999999999976,0.0001999999999999988,0.0003999999999999976,0.00036666666666666445,0.0005000000000000004,0.0001999999999999849,1.3877787807814457e-17
2019-03-01,0.0005000000000000004,0.0,0.000499999999999997,0.0004666666666666708,0.00020000000000000226,0.00030000000000000165,0.0006000000000000102
2019-03-04,0.00019999999999999532,-0.0003999999999999976,9.99999999999994e-05,-0.0005000000000000004,-0.0005000000000000004,-0.00039999999999999064,-0.00040000000000002534
2019-03-05,-0.0001999999999999988,9.99999999999994e-05,0.0,0.0,0.0,0.0,-0.0002999999999999878
2019-03-06,-0.00010000000000000286,0.0,-0.0005999999999999964,-0.0004666666666666673,-0.00020000000000000226,-0.0003000000000000086,1.3877787807814457e-17
2019-03-07,3.469446951953614e-18,-0.0002999999999999982,-0.0007999999999999952,-0.0005000000000000039,-0.0005000000000000004,-0.00029999999999999125,-0.00010000000000002368
2019-03-08,-9.99999999999994e-05,0.0001999999999999988,-0.0005000000000000039,-0.00020000000000000226,-0.0001999999999999988,-0.00040000000000000105,-0.00030000000000000165
2019-03-11,0.0003999999999999976,-0.0001999999999999988,0.0004000000000000045,0.00020000000000000226,0.0001999999999999988,0.00040000000000000105,0.00030000000000000165
2019-03-12,-0.0001999999999999988,-9.99999999999994e-05,-0.0003000000000000051,-0.0003666666666666679,-0.0002999999999999982,-0.0005000000000000109,-9.999999999998899e-05
2019-03-13,9.99999999999994e-05,0.0001999999999999988,-9.99999999999994e-05,0.00016666666666666566,-9.99999999999994e-05,0.0,0.0006000000000000102
2019-03-14,-0.0001999999999999988,-9.99999999999994e-05,0.0002999999999999982,0.00010000000000000286,0.0002999999999999982,0.0006000000000000102,-0.00020000000000001267
2019-03-15,0.0,0.0,-0.0005999999999999964,-0.00030000000000000165,-0.0005000000000000004,-0.0001999999999999988,0.0
2019-03-18,-0.00010000000000000286,0.00010000000000000286,0.0003999999999999976,0.0001999999999999988,0.0,-9.99999999999994e-05,-0.0003000000000000086
2019-03-19,3.469446951953614e-18,-0.0005000000000000004,0.0003999999999999976,-6.66666666666628e-05,0.00020000000000000226,9.999999999998899e-05,0.00010000000000002368
2019-03-20,-0.0007999999999999952,-0.0002999999999999982,-0.0009000000000000015,-0.0009333333333333381,-0.0006000000000000033,-0.00029999999999999125,-0.00020000000000001267
2019-03-21,9.999999999999593e-05,9.999999999999246e-05,0.00010000000000000286,-6.66666666666628e-05,0.0,-0.0002000000000000092,-0.00039999999999999064
2019-03-22,-0.00010000000000000286,-0.0003999999999999941,-0.0017000000000000036,-0.0009999999999999905,-0.0010000000000000044,-0.0007999999999999917,-0.0006000000000000102
2019-03-25,0.00020000000000000573,-0.000900000000000005,-0.0005999999999999998,-0.00016666666666667607,0.0001000000000000098,-9.99999999999994e-05,-0.00010000000000000286
