Date,f_1y_2y,f_2y_5y,f_5y_10y,f_10y_20y,f_20y_30y
1993-10-04,0.00020000000000000573,-0.00023333333333332845,9.999999999998899e-05,-0.00040000000000002534,0.0007000000000000062
1993-10-05,-0.00010000000000000286,9.999999999998899e-05,0.00010000000000003062,0.0003000000000000086,0.00019999999999995716
1993-10-06,6.938893903907228e-18,-0.000266666666666672,0.00020000000000000573,0.0,0.0
1993-10-07,-0.00030000000000000165,-3.333333333332272e-05,-0.00030000000000001553,-2.7755575615628914e-17,0.00020000000000002655
1993-10-08,-0.0008000000000000021,-0.0010000000000000009,-0.0005999999999999964,-0.0010999999999999899,-0.0008999999999999911
1993-10-12,0.0005000000000000004,0.00023333333333332845,-0.00010000000000001674,-9.999999999998899e-05,0.0
1993-10-13,0.0003999999999999976,-0.00013333333333333253,0.0,0.00019999999999999185,-0.0001999999999999988
1993-10-14,-0.0003999999999999976,-0.000366666666666661,-0.0004999999999999866,-0.0005999999999999894,-0.0008000000000000021
1993-10-15,-9.999999999999593e-05,-0.0005999999999999894,-0.0003999999999999976,-0.0010000000000000148,-0.00099999999999998
1993-10-18,0.00019999999999999185,0.0012999999999999887,0.0006999999999999854,0.000800000000000009,0.0004999999999999657
1993-10-19,0.0003999999999999976,-0.00013333333333333253,0.0,-0.00019999999999997797,0.00019999999999997797
1993-10-20,0.00010000000000000286,-0.00033333333333333826,2.0816681711721685e-17,-0.00010000000000003062,-0.00039999999999997676
1993-10-21,0.00040000000000001146,0.0011333333333333265,0.0010000000000000009,0.000899999999999998,0.0009000000000000119
1993-10-22,0.0001999999999999988,0.000533333333333337,0.0010000000000000009,0.0006999999999999923,0.00040000000000002534
1993-10-25,0.0004999999999999935,0.0007333333333333289,0.0003999999999999837,0.00030000000000002247,0.00039999999999995595
1993-10-26,-0.0003999999999999976,-0.000366666666666661,-0.0005000000000000004,-0.00020000000000000573,0.0
1993-10-27,0.0010000000000000078,9.999999999999593e-05,-9.999999999998205e-05,0.00010000000000001674,-0.00020000000000002655
1993-10-28,-0.00040000000000001146,0.00030000000000001553,-0.0007000000000000131,-0.0005000000000000282,-9.999999999996817e-05
1993-10-29,0.00040000000000001146,-0.00013333333333333947,0.0003999999999999837,2.7755575615628914e-17,-0.0005000000000000074
1993-11-01,0.001800000000000003,0.0013666666666666619,0.0013000000000000095,9.999999999998899e-05,0.0003999999999999976
1993-11-02,0.0003999999999999837,0.0006666666666666696,0.0008000000000000021,0.0011000000000000176,-0.0002999999999999878
1993-11-03,-0.00030000000000000165,3.333333333332966e-05,0.000900000000000005,0.0003999999999999976,0.00039999999999997676
1993-11-04,0.00010000000000000286,0.0003333333333333313,-0.00020000000000000573,0.0003999999999999837,0.0020000000000000503
1993-11-05,0.0011000000000000107,0.0008666666666666822,0.000800000000000009,0.0003999999999999837,-0.00030000000000003635
1993-11-08,-0.0011000000000000107,-0.0007000000000000131,-0.00029999999999998084,9.999999999997511e-05,0.00040000000000002534
1993-11-09,-9.999999999999593e-05,-0.00026666666666666505,-0.0010000000000000286,-0.0007999999999999813,-0.0003999999999999837
1993-11-10,0.0008000000000000021,0.0006666666666666696,0.0010000000000000286,0.0005999999999999894,9.999999999998899e-05
1993-11-12,-0.000999999999999994,-0.0006000000000000033,-0.0006000000000000033,-0.0003999999999999837,-0.0007999999999999952
1993-11-15,-0.0001999999999999988,0.0,0.0006000000000000033,0.0003000000000000086,-2.7755575615628914e-17
1993-11-16,-0.0002000000000000196,-0.0005999999999999894,-0.00020000000000000573,9.999999999998899e-05,0.00020000000000000573
1993-11-17,-9.999999999998899e-05,0.00023333333333332845,-0.0002999999999999947,0.00010000000000000286,0.0006000000000000172
1993-11-18,0.0008000000000000021,0.0007666666666666586,0.0006999999999999923,0.0003000000000000086,0.00019999999999997797
1993-11-19,0.0008999999999999841,0.0012000000000000136,0.0013999999999999846,0.000800000000000009,0.0012999999999999956
1993-11-22,0.0007000000000000131,0.00039999999999999064,0.0006000000000000033,0.00010000000000000286,2.0816681711721685e-17
1993-11-23,-0.0008999999999999911,-0.0005333333333333579,-0.0007999999999999674,-0.00070000000000002,-0.0004000000000000045
1993-11-24,-0.0002000000000000196,-0.00043333333333329255,0.0006999999999999507,-1.3877787807814457e-17,9.999999999998899e-05
1993-11-26,-0.00019999999999999185,-0.0003666666666666818,-0.0008999999999999703,-0.00019999999999997797,-0.0006999999999999854
1993-11-29,0.0,-6.666666666666626e-05,-0.00040000000000002534,-0.0003999999999999976,-0.00030000000000001553
1993-11-30,0.0004999999999999935,0.0008333333333333387,0.0007000000000000062,0.0005000000000000004,0.0006000000000000033
1993-12-01,-9.999999999998899e-05,-3.333333333336436e-05,-9.999999999996123e-05,-0.0003000000000000086,0.00010000000000003062
1993-12-02,0.0003999999999999837,0.00020000000000003348,-0.0004000000000000392,-0.0003000000000000086,9.999999999996817e-05
1993-12-03,0.00040000000000001146,-0.00013333333333333947,-0.00020000000000000573,-0.0004999999999999866,0.0
1993-12-06,-0.0004999999999999796,-0.0008333333333333387,-0.0008999999999999703,-0.0008000000000000229,-0.0007999999999999743
1993-12-07,-0.00070000000000002,0.00030000000000000165,-0.00030000000000002247,0.00010000000000000286,0.0
1993-12-08,0.00019999999999999185,-0.0002333333333333354,0.00010000000000000286,0.0,0.0
1993-12-09,0.0,-0.0003333333333333313,-0.00040000000000001146,-9.999999999997511e-05,-0.00020000000000000573
1993-12-10,0.0004000000000000045,0.0008000000000000021,0.00040000000000002534,0.0004999999999999866,0.00020000000000000573
